SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,BIRTHDATE
21998,1712,29800019,1999-02-06,GSW vs. HOU,L,5,0,2,0.0,0,0,0.0,1,2,0.5,0,0,0,0,1,0,0,0,1,-9,0,1976-06-12T00:00:00
21998,1712,29800026,1999-02-07,GSW vs. DAL,L,16,4,10,0.4,0,1,0.0,0,0,0.0,5,4,9,0,0,0,0,0,8,7,0,1976-06-12T00:00:00
21998,1712,29800043,1999-02-09,GSW @ SEA,L,24,2,10,0.2,0,1,0.0,3,5,0.6,3,0,3,1,1,2,1,0,7,-12,0,1976-06-12T00:00:00
21998,1712,29800049,1999-02-10,GSW vs. SEA,L,9,2,5,0.4,0,1,0.0,0,0,0.0,3,3,6,0,0,0,0,0,4,-8,0,1976-06-12T00:00:00
21998,1712,29800064,1999-02-12,GSW vs. UTA,L,13,1,5,0.2,0,0,0.0,2,4,0.5,2,1,3,1,1,0,0,0,4,2,0,1976-06-12T00:00:00
21998,1712,29800072,1999-02-14,GSW vs. POR,W,16,2,9,0.222,0,0,0.0,0,2,0.0,1,5,6,1,0,0,0,1,4,8,0,1976-06-12T00:00:00
21998,1712,29800078,1999-02-15,GSW vs. MIN,W,29,7,8,0.875,1,1,1.0,6,9,0.667,4,7,11,1,1,0,3,4,21,0,0,1976-06-12T00:00:00
21998,1712,29800097,1999-02-17,GSW vs. CHH,W,22,3,12,0.25,0,0,0.0,2,2,1.0,7,6,13,3,2,0,2,1,8,7,0,1976-06-12T00:00:00
21998,1712,29800113,1999-02-19,GSW vs. DAL,W,22,5,10,0.5,0,0,0.0,2,3,0.667,3,5,8,1,0,1,0,3,12,17,0,1976-06-12T00:00:00
21998,1712,29800122,1999-02-20,GSW @ POR,L,18,2,5,0.4,0,0,0.0,0,2,0.0,2,1,3,0,0,1,0,3,4,-10,0,1976-06-12T00:00:00
21998,1712,29800144,1999-02-23,GSW @ LAC,W,18,5,6,0.833,0,0,0.0,1,3,0.333,1,4,5,0,1,0,3,4,11,3,0,1976-06-12T00:00:00
21998,1712,29800170,1999-02-26,GSW vs. PHX,W,26,4,8,0.5,0,0,0.0,3,8,0.375,4,12,16,0,0,1,2,2,11,0,0,1976-06-12T00:00:00
21998,1712,29800185,1999-02-28,GSW @ PHX,L,17,1,4,0.25,0,0,0.0,0,3,0.0,1,3,4,0,0,0,0,4,2,2,0,1976-06-12T00:00:00
21998,1712,29800200,1999-03-02,GSW @ MIN,L,19,2,6,0.333,0,0,0.0,0,0,0.0,1,3,4,1,0,0,2,1,4,0,0,1976-06-12T00:00:00
21998,1712,29800208,1999-03-03,GSW @ MIL,L,23,4,10,0.4,0,0,0.0,6,9,0.667,4,3,7,0,2,0,3,1,14,-5,0,1976-06-12T00:00:00
