Player,Milestone Step,Total Games,Milestone Games,Career Average,Milestone Average,Difference,Hypothesis Supported
Reggie Miller,1000,1389,25,18.2,21.96,3.76,Yes
Mitch Richmond,1000,976,20,21.0,23.3,2.3,Yes
David Robinson,1000,987,20,21.06,24.1,3.04,Yes
Shaquille O'Neal,1000,1207,28,23.69,25.82,2.13,Yes
Gary Payton,1000,1335,21,16.34,20.38,4.04,Yes
Allen Iverson,1000,914,24,26.66,29.75,3.09,Yes
Kobe Bryant,1000,1346,33,24.99,30.58,5.58,Yes
Kevin Garnett,1000,1462,26,17.83,19.58,1.74,Yes
Ray Allen,1000,1300,24,18.85,22.12,3.27,Yes
Dirk Nowitzki,1000,1522,31,20.74,25.52,4.78,Yes
Paul Pierce,1000,1343,26,19.66,24.81,5.15,Yes
Vince Carter,1000,1541,25,16.7,22.36,5.66,Yes
Tim Duncan,1000,1392,26,19.03,22.46,3.43,Yes
LeBron James,1000,1562,42,27.01,31.43,4.42,Yes
Antawn Jamison,1000,1083,20,18.51,23.75,5.24,Yes
Carmelo Anthony,1000,1260,28,22.45,24.61,2.16,Yes
Dwyane Wade,1000,1054,23,21.98,26.61,4.63,Yes
Joe Johnson,1000,1277,20,15.98,19.6,3.62,Yes
Pau Gasol,1000,1226,20,17.04,19.85,2.81,Yes
Kevin Durant,1000,1123,30,27.22,28.67,1.44,Yes
James Harden,1000,1151,27,24.05,30.11,6.06,Yes
Russell Westbrook,1000,1237,26,21.18,26.46,5.28,Yes
Chris Paul,1000,1284,21,17.0,20.86,3.86,Yes
LaMarcus Aldridge,1000,1076,20,19.11,22.85,3.74,Yes
Stephen Curry,1000,1026,25,24.74,29.28,4.54,Yes
